id,nombre_completo,email_corporativo,cargo,empresa,sector,tamaño_empresa,fuente_lead,visitas_web,emails_abiertos,clicks_enlaces,descargo_whitepaper,pidio_demo,status_final,score_perfil,score_comportamiento,lead_score,segmento
32,Nicolás Gutierrez Quintanilla,nicolasgutierrezquintanilla@industriasegves.coop..es,Gerente de Marketing,Industrias EGVE S.Coop.,Salud,Micro,Linkedin,11,5,2,False,False,Perdido,20,15,35,Cold Lead
33,Cristian Miralles-Gómez,cristianmiralles-gomez@servicioscastroyasociadoss.coop..es,Analista de Marketing,Servicios Castro y asociados S.Coop.,Finanzas,Micro,Formulario,2,1,0,False,False,Perdido,25,3,28,Cold Lead
34,Adalberto Sedano Cabo,adalbertosedanocabo@fabricanwtts.com..es,Analista de Marketing,Fábrica NWTT S.Com.,Salud,Micro,Evento,17,1,1,False,False,Perdido,15,11,26,Cold Lead
35,Isidoro Mate Ángel,isidorom@hermanoscallejas.l.n.e.com,Ejecutivo Comercial,Hermanos Calleja S.L.N.E,Tecnología,Micro,Cold Call,16,0,0,False,False,Perdido,25,10,35,Cold Lead
36,Eligio Carlos Campo,eligiocarloscampo@inmobiliarialujans.coop..com.es,Sales Manager,Inmobiliaria Luján S.Coop.,Tecnología,Pyme,Web,16,0,0,True,False,Perdido,35,20,55,Warm Lead
37,Clara Laguna Vega,claralagunavega@joseazconabrus.l..com,Business Development,José Azcona Bru S.L.,Salud,Pyme,Email,21,9,2,False,True,Perdido,20,50,70,Hot Lead
38,Alfredo Acevedo-Múgica,a.alfredoacevedo-mugica@infraestructurascuellars.l..com,Marketing Manager,Infraestructuras Cuéllar S.L.,Retail,Pyme,Cold Call,8,1,1,False,False,Perdido,25,9,34,Cold Lead
39,Olalla del Agustí,olalladelagusti@comercializadoravcres.a..com,Director Comercial,Comercializadora VCRE S.A.,Finanzas,Pyme,Evento,18,3,3,False,False,Perdido,45,13,58,Warm Lead
40,Alfonso Mendez Pastor,alfonsom@hermanosgallos.l..com,Marketing Manager,Hermanos Gallo S.L.,Salud,Enterprise,Email,5,2,2,False,False,Convertido,30,7,37,Cold Lead
41,Galo Ramos Cortes,galoramo@distribucionesiberias.l.n.e.com,Analista de Marketing,Distribuciones Iberia S.L.N.E,Finanzas,Micro,Linkedin,2,0,0,False,False,Perdido,25,2,27,Cold Lead
42,Chuy Márquez Requena,chuymarquezrequena@inmobiliariaiberias.l..es,Asistente Comercial,Inmobiliaria Iberia S.L.,Salud,Enterprise,Referido,15,2,2,False,False,Perdido,25,12,37,Cold Lead
43,Graciano Arias Sosa,gracianoariassosa@finanzasdelnortes.com..es,Coordinador de Ventas,Finanzas del Norte S.Com.,Salud,Micro,Linkedin,35,3,0,False,False,Perdido,30,13,43,Warm Lead
44,Dani de Ferrando,danideferrando@moyaylopezs.l.n.e.com.es,Asistente Comercial,Moya y Lopez S.L.N.E,Finanzas,Pyme,Referido,35,7,1,False,False,Perdido,30,17,47,Warm Lead
45,Gabino Vergara-Pulido,gabinove@amoros&asociadoss.l.n.e.com,Director de Estrategia,Amorós & Asociados S.L.N.E,Finanzas,Enterprise,Evento,28,1,1,True,True,Perdido,50,50,100,Hot Lead
46,Chuy Lara-Arenas,chuylara@suministroslqfs.coop..com,CTO,Suministros LQF S.Coop.,Salud,Pyme,Email,13,1,1,False,False,Perdido,35,11,46,Warm Lead
47,Ximena Falcón Iñiguez,ximenafalconiñiguez@hnosabellans.coop..com.es,Director de Tecnología,Hnos Abellán S.Coop.,Retail,Enterprise,Referido,30,0,0,False,False,Perdido,40,10,50,Warm Lead
48,Noelia de Pascual,noeliadepascual@becerraymurillos.l..es,Asistente Comercial,Becerra y Murillo S.L.,Educación,Enterprise,Web,17,6,3,True,True,Perdido,25,50,75,Hot Lead
49,Plácido Mas Vendrell,placidomasvendrell@solucionesmorerayasociadoss.l..com.es,Gerente de Marketing,Soluciones Morera y asociados S.L.,Retail,Micro,Linkedin,25,9,4,False,True,Convertido,20,50,70,Hot Lead
50,Belen de Rivero,b.belenderivero@davilaymascaros.com..com,Analista de Marketing,Dávila y Mascaró S.Com.,Tecnología,Pyme,Web,29,5,2,False,False,Perdido,30,15,45,Warm Lead
51,Evaristo Madrid Gallo,evaristomadridgallo@montserratysolas.com..com.es,Ejecutivo Comercial,Montserrat y Sola S.Com.,Tecnología,Pyme,Linkedin,22,3,0,False,False,Perdido,30,13,43,Warm Lead
52,José Mari Sáenz,josemari@compañialuzs.coop..com,Analista de Marketing,Compañía Luz S.Coop.,Tecnología,Enterprise,Web,30,10,0,False,True,Perdido,35,50,85,Hot Lead
53,Eva María Araceli Gutierrez Menéndez,evamaria@finanzasglobaless.a..com,Analista de Marketing,Finanzas Globales S.A.,Educación,Enterprise,Evento,6,4,0,False,False,Perdido,25,10,35,Cold Lead
54,Jordán de Sarabia,jordande@ferrerasyplanas.coop..com,Marketing Manager,Ferreras y Plana S.Coop.,Salud,Micro,Linkedin,44,4,4,False,False,Perdido,20,14,34,Cold Lead
55,Candelario de Campillo,candelariodecampillo@gilabertyecheverrias.l..com,COO,Gilabert y Echeverría S.L.,Retail,Enterprise,Cold Call,41,5,0,False,False,Perdido,40,15,55,Warm Lead
56,Jordana Ayllón,jordanaayllon@consultoriadelnortes.a..es,Business Development,Consultoría del Norte S.A.,Retail,Enterprise,Web,46,8,5,True,False,Perdido,25,28,53,Warm Lead
57,Natividad Molins Salas,nativida@salmeronycuencas.l..com,Gerente Comercial,Salmerón y Cuenca S.L.,Educación,Pyme,Formulario,5,2,1,False,False,Perdido,25,7,32,Cold Lead
58,Javiera Jove Huertas,javierajovehuertas@transportesharoyasociadoss.com..es,Gerente de Ventas,Transportes Haro y asociados S.Com.,Retail,Pyme,Web,22,4,2,False,False,Perdido,25,14,39,Cold Lead
59,Desiderio Elías Narváez Montenegro,desiderioeliasnarvaezmontenegro@desarrollomks.l..es,Sales Manager,Desarrollo MK S.L.,Salud,Micro,Referido,35,3,3,False,False,Perdido,20,13,33,Cold Lead
60,Hipólito Ramón Muro,h.hipolitoramonmuro@severobarriosgabaldons.l.l..com,CTO,Severo Barrios Gabaldón S.L.L.,Retail,Enterprise,Email,37,5,3,False,False,Perdido,40,15,55,Warm Lead
61,Yolanda Aller Pintor,y.yolandaallerpintor@adolfoortizmartins.l..com,Gerente de Producto,Adolfo Ortiz Martín S.L.,Retail,Pyme,Web,7,1,1,True,False,Perdido,35,18,53,Warm Lead
62,Lupita Giménez Torrents,lupitagimeneztorrents@inmobiliariadelnoroestes.coop..com.es,Director de Marketing,Inmobiliaria del Noroeste S.Coop.,Retail,Pyme,Formulario,33,9,2,False,False,Perdido,35,19,54,Warm Lead
63,Evangelina Quiroga Dalmau,evangeli@zairacastellamoress.l.n.e.com,Gerente de Producto,Zaira Castell Amores S.L.N.E,Tecnología,Enterprise,Evento,2,0,0,False,False,Perdido,50,2,52,Warm Lead
64,Marcela Amores-Blanes,marcelaamores-blanes@cerdayserranos.a..es,Product Manager,Cerdá y Serrano S.A.,Tecnología,Enterprise,Referido,28,5,1,False,False,Perdido,40,15,55,Warm Lead
65,Goyo Morán-Galán,goyomoran-galan@nachonebotpinillas.c.p.com.es,Director de Ventas,Nacho Nebot Pinilla S.C.P,Retail,Pyme,Email,43,0,0,True,False,Perdido,35,20,55,Warm Lead
66,Dolores Bilbao Sosa,doloresbilbaososa@familiaolmos.a.t..com.es,Analista de Ventas,Familia Olmo S.A.T.,Educación,Pyme,Formulario,39,3,3,False,False,Perdido,20,13,33,Cold Lead
67,Rosario Arjona Anguita,rosarioarjonaanguita@finanzasavanzadass.coop..com.es,Ejecutivo Comercial,Finanzas Avanzadas S.Coop.,Educación,Enterprise,Email,6,1,0,False,True,Convertido,25,47,72,Hot Lead
68,Bernardino del Carbó,bernardinodelcarbo@talleresintegraless.l..com.es,Gerente de Marketing,Talleres Integrales S.L.,Tecnología,Pyme,Referido,18,0,0,False,False,Perdido,35,10,45,Warm Lead
69,Marcio Carbó Céspedes,marcioca@construccionamigoyasociadoss.coop..com,CTO,Construcción Amigó y asociados S.Coop.,Finanzas,Enterprise,Referido,7,4,1,False,False,Perdido,50,11,61,Warm Lead
70,Gisela Fiol Benitez,g.giselafiolbenitez@construccioninteligentess.l.l..com,CTO,Construcción Inteligentes S.L.L.,Finanzas,Enterprise,Referido,7,3,2,False,False,Perdido,50,10,60,Warm Lead
71,Rosenda Azeneth Armengol Olivera,r.rosendaazenetharmengololivera@pellicerybayons.coop..com,Gerente de Ventas,Pellicer y Bayón S.Coop.,Educación,Micro,Cold Call,16,0,0,False,False,Perdido,20,10,30,Cold Lead
72,Adora Rivera Trillo,adorariv@suministroshrks.com..com,Gerente de Ventas,Suministros HRK S.Com.,Finanzas,Enterprise,Referido,33,10,3,False,True,Perdido,40,50,90,Hot Lead
73,Modesta León,modestaleon@adelaruanoledesmas.com..es,Gerente Comercial,Adela Ruano Ledesma S.Com.,Tecnología,Pyme,Evento,20,10,0,False,False,Perdido,35,20,55,Warm Lead
74,Severo de Lorenzo,severodelorenzo@josefranciscosobrinopinillas.com..com,Director de Tecnología,Jose Francisco Sobrino Pinilla S.Com.,Educación,Micro,Evento,16,5,0,False,False,Perdido,30,15,45,Warm Lead
75,Susanita Morcillo Espada,susanitamorcilloespada@ibanpachecojordans.com..com,Business Development,Ibán Pacheco Jordán S.Com.,Educación,Pyme,Web,33,5,4,False,False,Perdido,20,15,35,Cold Lead
76,Odalys Vanesa Llorente Agustín,odalysvanesallorenteagustin@compañiaibericoss.l..es,Director Comercial,Compañía Ibéricos S.L.,Salud,Pyme,Linkedin,1,0,0,False,True,Convertido,35,41,76,Hot Lead
77,Manu Hernandez Tamayo,manuhernandeztamayo@victorinoalemanybuendias.com..es,Director de Ventas,Victorino Alemany Buendía S.Com.,Retail,Micro,Email,18,8,5,False,False,Perdido,30,18,48,Warm Lead
78,Nydia Hervia Medina,nydiaherviamedina@saenzyasociadoss.com..com.es,Director Comercial,Sáenz y asociados S.Com.,Salud,Pyme,Cold Call,47,2,0,True,False,Perdido,35,22,57,Warm Lead
79,Eusebia del Santiago,e.eusebiadelsantiago@inversionesiglesias&asociadoss.a..com,Asistente Comercial,Inversiones Iglesias & Asociados S.A.,Finanzas,Micro,Formulario,37,9,5,False,True,Convertido,25,50,75,Hot Lead
80,Fausto Carreras,f.faustocarreras@finanzasgascons.l..com,Sales Manager,Finanzas Gascón S.L.,Educación,Pyme,Formulario,12,3,3,False,False,Convertido,25,13,38,Cold Lead
81,Porfirio Zamorano-Luna,porfirio@finanzasljas.coop..com,Business Development,Finanzas LJA S.Coop.,Retail,Pyme,Referido,2,0,0,False,False,Perdido,20,2,22,Cold Lead
82,Alonso Ballester-Manzano,alonsoballester-manzano@transportescalderons.l.n.e.es,Gerente Comercial,Transportes Calderon S.L.N.E,Tecnología,Enterprise,Formulario,41,2,0,False,False,Perdido,40,12,52,Warm Lead
83,Elodia Soria-Tejero,elodiasoria-tejero@noeespinosaaznars.c.p.com.es,Marketing Manager,Noé Espinosa Aznar S.C.P,Tecnología,Pyme,Referido,20,10,5,False,False,Perdido,35,20,55,Warm Lead
84,Aurora Bas Pérez,aurorabasperez@candelariobaezacorderos.a..es,Gerente de Marketing,Candelario Baeza Cordero S.A.,Finanzas,Micro,Linkedin,48,10,5,False,False,Perdido,30,20,50,Warm Lead
85,Encarnacion Blázquez-Hurtado,e.encarnacionblazquez-hurtado@solucionesegots.l.n.e.com,Analista de Ventas,Soluciones EGOT S.L.N.E,Finanzas,Micro,Evento,27,2,0,False,False,Perdido,25,12,37,Cold Lead
86,Tito Macario Romeu Mayoral,titomaca@familiagalianos.l..com,Director de Ventas,Familia Galiano S.L.,Educación,Pyme,Referido,37,2,0,False,False,Perdido,35,12,47,Warm Lead
87,Natalio Bertrán-Crespo,nataliobertran-crespo@farmaceuticaespañolas.a..com.es,VP de Marketing,Farmaceútica Española S.A.,Retail,Pyme,Web,4,3,2,False,False,Perdido,35,7,42,Warm Lead
88,Javiera Soriano Manuel,javierasorianomanuel@grupomaldonados.l..es,Gerente Comercial,Grupo Maldonado S.L.,Finanzas,Micro,Linkedin,15,6,4,False,False,Perdido,30,16,46,Warm Lead
89,Andrea Guillen Lamas,andreaguillenlamas@suministrosespañolass.coop..com.es,VP de Marketing,Suministros Españolas S.Coop.,Retail,Pyme,Formulario,43,0,0,False,False,Perdido,35,10,45,Warm Lead
90,Wálter Larrañaga Cisneros,walterlarrañagacisneros@comercialpes.l.l..com.es,Director de Operaciones,Comercial PE S.L.L.,Salud,Enterprise,Evento,43,10,5,False,False,Perdido,40,20,60,Warm Lead
91,Isidoro Bernabé Solís Mateu,i.isidorobernabesolismateu@lladoyvalls.coop..com,Gerente de Producto,Lladó y Vall S.Coop.,Retail,Micro,Email,8,0,0,False,False,Perdido,30,8,38,Cold Lead
92,Anita Ariño Rosales,anitaari@ibañez&asociadoss.a..com,Ejecutivo Comercial,Ibáñez & Asociados S.A.,Educación,Enterprise,Evento,30,4,2,False,False,Convertido,25,14,39,Cold Lead
93,Maristela Almansa-Leon,maristelaalmansa-leon@grupososas.coop..com,Analista de Marketing,Grupo Sosa S.Coop.,Retail,Enterprise,Formulario,25,0,0,False,False,Perdido,25,10,35,Cold Lead
94,África Lobo Escudero,africaloboescudero@tellezybous.coop..com,Sales Manager,Téllez y Bou S.Coop.,Retail,Enterprise,Email,14,7,0,False,False,Perdido,30,17,47,Warm Lead
95,Eva Montesinos Calvo,e.evamontesinoscalvo@manufacturasrequenas.l..com,Marketing Manager,Manufacturas Requena S.L.,Tecnología,Enterprise,Email,26,1,0,True,True,Perdido,40,50,90,Hot Lead
96,Natanael Herberto Arco Sanz,natanaelherbertoarcosanz@logisticaqyvs.coop..es,Director de Marketing,Logística QYV S.Coop.,Educación,Micro,Evento,42,8,3,False,False,Perdido,30,18,48,Warm Lead
97,Nando Sevilla Reyes,n.nandosevillareyes@grupovillegass.com..com,Product Manager,Grupo Villegas S.Com.,Retail,Enterprise,Linkedin,44,5,1,False,False,Perdido,30,15,45,Warm Lead
98,Maura Salamanca Aznar,maurasalamancaaznar@inmobiliariaglobaless.l.n.e.com,VP de Ventas,Inmobiliaria Globales S.L.N.E,Finanzas,Enterprise,Referido,17,3,0,False,False,Convertido,50,13,63,Warm Lead
99,Vanesa Tormo Carrión,v.vanesatormocarrion@grupocuadrados.com..com,Director de Estrategia,Grupo Cuadrado S.Com.,Educación,Micro,Web,8,4,1,True,False,Convertido,30,22,52,Warm Lead
100,Leoncio Raya Buendía,leonciorayabuendia@consultoriadelnortes.l.n.e.com,Director de Marketing,Consultoría del Norte S.L.N.E,Finanzas,Micro,Evento,9,1,1,False,False,Perdido,40,10,50,Warm Lead
101,Josep Manzanares Verdú,josepmanzanaresverdu@solucionestolosayasociadoss.a.u.com,Director de Operaciones,Soluciones Tolosa y asociados S.A.U,Salud,Enterprise,Web,16,0,0,False,False,Perdido,40,10,50,Warm Lead
102,Blanca del Farré,blancadelfarre@comercializadorallorentes.l..com,Product Manager,Comercializadora Llorente S.L.,Finanzas,Enterprise,Referido,32,3,0,False,False,Perdido,40,13,53,Warm Lead
103,Evita Vera Lastra,evitaveralastra@hermanosmartins.l.l..es,Marketing Manager,Hermanos Martín S.L.L.,Tecnología,Micro,Referido,43,1,1,False,False,Perdido,30,11,41,Warm Lead
104,Mónica Tovar-Comas,monicatovar-comas@barbaratomeochoas.com..com.es,Gerente de Marketing,Bárbara Tomé Ochoa S.Com.,Tecnología,Micro,Email,37,8,5,False,False,Perdido,30,18,48,Warm Lead
105,Florinda del Montserrat,florindadelmontserrat@industriasdelmediterraneos.a.u.com.es,Sales Manager,Industrias del Mediterráneo S.A.U,Retail,Micro,Email,13,6,3,False,False,Perdido,20,16,36,Cold Lead
106,Amada Monreal Suárez,a.amadamonrealsuarez@poloycornejos.coop..com,Marketing Manager,Polo y Cornejo S.Coop.,Tecnología,Pyme,Email,16,5,1,False,False,Convertido,35,15,50,Warm Lead
107,Bernardino Vallés Mármol,bernardi@supermercadosbxs.l..com,CMO,Supermercados BX S.L.,Tecnología,Enterprise,Cold Call,3,2,2,False,False,Perdido,50,5,55,Warm Lead
108,Tomasa Cortes Benavides,t.tomasacortesbenavides@merchelandanevados.l..com,Coordinador de Ventas,Merche Landa Nevado S.L.,Tecnología,Pyme,Evento,6,4,4,False,False,Perdido,45,10,55,Warm Lead
109,Mirta Bernat Moya,mirtabernatmoya@molinerytorrentss.l.n.e.com.es,Director Comercial,Moliner y Torrents S.L.N.E,Finanzas,Micro,Web,27,8,4,False,False,Convertido,40,18,58,Warm Lead
110,Martin Bayona Guitart,m.martinbayonaguitart@hotelbotellayasociadoss.l.u..com,Business Development,Hotel Botella y asociados S.L.U.,Finanzas,Micro,Email,48,4,2,False,False,Perdido,25,14,39,Cold Lead
111,Iván Delgado Marí,ivandelgadomari@familiamoratas.l..com,Gerente de Ventas,Familia Morata S.L.,Salud,Enterprise,Email,33,3,3,False,False,Perdido,30,13,43,Warm Lead
112,Gastón Glauco Rosa Coello,gastongl@solucionesiberias.a..com,Asistente Comercial,Soluciones Iberia S.A.,Educación,Micro,Web,48,9,0,False,True,Perdido,15,50,65,Warm Lead
113,Marcos Piñeiro Hernando,marcospiñeirohernando@ximenaclementeguerras.coop..com.es,Gerente Comercial,Ximena Clemente Guerra S.Coop.,Retail,Pyme,Linkedin,22,6,0,False,False,Perdido,25,16,41,Warm Lead
114,Jeremías Jara-Agustí,jeremiasjara-agusti@valentinamaestrecruzs.a..com,Gerente de Ventas,Valentina Maestre Cruz S.A.,Salud,Pyme,Linkedin,13,4,1,False,False,Perdido,25,14,39,Cold Lead
115,Maristela Martínez Rodrigo,maristelamartinezrodrigo@talleresmatas&asociadoss.l.u..es,Director de Tecnología,Talleres Matas & Asociados S.L.U.,Retail,Micro,Cold Call,45,3,2,True,False,Convertido,30,23,53,Warm Lead
116,Ascensión Gálvez Pizarro,ascensiongalvezpizarro@marquesyasociadoss.a..com.es,CEO,Marqués y asociados S.A.,Finanzas,Enterprise,Referido,45,10,3,True,True,Perdido,50,50,100,Hot Lead
117,Eli Aguiló Avilés,eliaguiloaviles@pepitamaciasgraus.coop..com,Director Comercial,Pepita Macías Grau S.Coop.,Retail,Enterprise,Referido,6,1,1,False,False,Perdido,40,7,47,Warm Lead
118,Constanza Falcón Iglesia,constanz@construccionarizas.com..com,Gerente de Producto,Construcción Ariza S.Com.,Salud,Pyme,Linkedin,32,10,0,False,True,Perdido,35,50,85,Hot Lead
119,Alexandra Patiño Catalá,alexandr@instalacionesmjgs.coop..com,Product Manager,Instalaciones MJG S.Coop.,Salud,Micro,Evento,12,2,2,True,False,Convertido,20,22,42,Warm Lead
120,Luisa Valls Llamas,luisavallsllamas@infraestructurastirados.l.n.e.com.es,Business Development,Infraestructuras Tirado S.L.N.E,Retail,Pyme,Formulario,37,7,5,False,False,Perdido,20,17,37,Cold Lead
121,Raúl Trinidad Nevado Cardona,raultrinidadnevadocardona@carloschicogonzalezs.l.l..com,Product Manager,Carlos Chico Gonzalez S.L.L.,Finanzas,Micro,Referido,28,10,2,False,False,Perdido,30,20,50,Warm Lead
122,Soraya Paz Bosch,s.sorayapazbosch@alcalaylamass.coop..com,CMO,Alcalá y Lamas S.Coop.,Retail,Micro,Formulario,18,1,0,False,False,Perdido,30,11,41,Warm Lead
123,Flor Juárez Piquer,florjuarezpiquer@campoy&asociadoss.coop..com.es,Product Manager,Campoy & Asociados S.Coop.,Tecnología,Pyme,Email,12,5,4,False,False,Convertido,35,15,50,Warm Lead
124,Verónica Mar Mosquera Giralt,veronicamarmosqueragiralt@tallerespvhxs.com..com,Director de Operaciones,Talleres PVHX S.Com.,Tecnología,Enterprise,Web,45,7,3,False,False,Perdido,50,17,67,Warm Lead
125,Azahar Cabanillas Guitart,azaharcabanillasguitart@restauracionsantiagos.com..com.es,Coordinador de Ventas,Restauración Santiago S.Com.,Retail,Pyme,Linkedin,50,10,5,True,True,Perdido,35,50,85,Hot Lead
126,Hortensia de Ribera,hortensiaderibera@transportesvxbts.com..com,Gerente de Producto,Transportes VXBT S.Com.,Educación,Micro,Cold Call,42,2,1,True,False,Perdido,30,22,52,Warm Lead
127,Teófilo del Cabezas,teofilodelcabezas@palmer&asociadoss.com..es,Director de Estrategia,Palmer & Asociados S.Com.,Tecnología,Pyme,Email,50,5,1,False,False,Perdido,45,15,60,Warm Lead
128,Benjamín Sanz,benjaminsanz@fabricahycrs.l.u..com.es,Sales Manager,Fábrica HYCR S.L.U.,Tecnología,Enterprise,Evento,1,1,1,False,False,Perdido,40,2,42,Warm Lead
129,Clarisa Bayona-Galan,c.clarisabayona-galan@hotelinternacionaless.l..com,Gerente de Marketing,Hotel Internacionales S.L.,Salud,Micro,Formulario,50,1,0,False,False,Perdido,20,11,31,Cold Lead
130,Abril Eliana Coca Castillo,abrileli@farmaceuticacanet&asociadoss.a..com,Gerente de Marketing,Farmaceútica Canet & Asociados S.A.,Salud,Micro,Email,28,0,0,False,False,Perdido,20,10,30,Cold Lead
